# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
562; 1; 7.3868094721504174e-01
538; 1; 7.3514934176144742e-01
523; 1; 6.6077120242968224e-01
528; 1; 6.5575771662675875e-01
535; 1; 6.3159581724458347e-01
568; 1; 6.1072349336689125e-01
567; 1; 6.0409146184597462e-01
570; 1; 5.7911489075064804e-01
478; 1; 5.6908087089866544e-01
495; 1; 5.6896040399167946e-01
569; 1; 5.6129972081471124e-01
539; 1; 5.5383530005773784e-01
536; 1; 5.4809564324618409e-01
514; 1; 5.4686471182178487e-01
527; 1; 5.2664829290846538e-01
522; 1; 5.1869479349345993e-01
496; 1; 5.1019471605773659e-01
497; 1; 5.0473032162855080e-01
563; 1; 4.9295799315645844e-01
484; 1; 4.8474659100814144e-01
502; 1; 4.7108855047990683e-01
552; 1; 4.6849822137362734e-01
513; 1; 4.6589622821561943e-01
537; 1; 4.4118821489326376e-01
509; 1; 4.3435909283629731e-01
498; 1; 4.1531772950196311e-01
519; 1; 3.8587180520689840e-01
489; 1; 3.7161430345991958e-01
555; 1; 3.6812148094976899e-01
554; 1; 3.6240192147760153e-01
508; 1; 3.6134481905927673e-01
483; 1; 3.5751165902417470e-01
477; 1; 3.4810324570426937e-01
487; 1; 3.3642934370413846e-01
511; 1; 3.3338277427496293e-01
545; 1; 3.3036981861778497e-01
547; 1; 3.1422137901837860e-01
503; 1; 3.0366802712905960e-01
543; 1; 2.8400171807475555e-01
540; 1; 2.7785037358579889e-01
494; 1; 2.7713688419203403e-01
492; 1; 2.7469260275227014e-01
553; 1; 2.7102250214069584e-01
485; 1; 2.5746509782700178e-01
505; 1; 2.4949239087932168e-01
520; 1; 2.3979389648271668e-01
206; 1; 2.3609980785433876e-01
507; 1; 2.2315650947136229e-01
499; 1; 2.1737832906553201e-01
532; 1; 2.1570199900764933e-01
557; 1; 2.0247721372390473e-01
480; 1; 1.9082978372587783e-01
561; 1; 1.8989054573347319e-01
518; 1; 1.8420428574206776e-01
517; 1; 1.5303959751318488e-01
546; 1; 1.4943420916316111e-01
114; 1; 1.3559426672954283e-01
488; 1; 1.2062633674164754e-01
531; 1; 1.1565514376119197e-01
551; 1; 1.1515544426215150e-01
504; 1; 1.1151480176269582e-01
501; 1; 9.3881003898548240e-02
510; 1; 3.9483483415324594e-02
# FractureId; NumTraces
5; 71
# TraceId; Tips; Length
639; 0; 1.1831130439120918e+00
573; 0; 8.4702836186950836e-01
593; 0; 7.7689385663185440e-01
640; 0; 7.3803851201490334e-01
